generation,best_fitness,frequency0,amplitude0,phase_offset0,frequency1,amplitude1,phase_offset1,frequency2,amplitude2,phase_offset2,frequency3,amplitude3,phase_offset3,frequency4,amplitude4,phase_offset4,frequency5,amplitude5,phase_offset5,frequency6,amplitude6,phase_offset6,frequency7,amplitude7,phase_offset7
10,95.6513252805451,-2.43317116052527,-3.60617532779852,1.87064233156115,3.2218793465422,2.22659339547476,-2.0533462246843,-1.80158641302938,7.39656213574284,1.53242507986283,1.32197726392116,3.6346172857134,2.58708003269396,-0.032120166111013,-0.602512324757508,3.01685628471334,-1.18247548742723,-2.68523597503877,2.8230823913992,0.905745033475706,2.26701804217315,-2.50761429871523,-1.59811355486747,-1.15543132624387,3.85473684101695
11,96.7388069592602,-0.313090706214256,-3.234080572826,1.09668801725343,3.32069969404341,1.55538630592593,-1.41807950378881,-2.01016884867069,6.70747290382029,2.86886094489178,1.3560024857685,3.41736400589091,3.39241203122171,-1.18164856220872,0.238964193086053,1.67707328641955,0.240286146482069,-0.283100758593392,1.59364710042736,0.902287901620137,3.2760574507242,-1.57398538673299,-2.62998207307757,0.158026462036577,2.81613511786032
12,98.5232948166479,-2.51575011384432,-1.56047492343064,-0.082951512575688,3.87053435624393,3.19511558493664,-0.990809269696498,0.760628550257718,6.52674998021093,2.37187767814615,1.53219323002765,4.15861348533633,3.13930334935598,-0.482737196002359,0.213103180071987,1.42738156463671,-1.3218031935428,-3.70825982762182,2.50654350498342,2.29481323040205,3.22893238090659,-3.15988262936869,-0.494689628690393,-3.36623755365804,4.46907831505954
13,97.2422966437386,-1.15730983862971,-4.39545981678578,0.077519266579805,2.96144222121305,2.89537038683296,-1.3271464955462,-1.41824358726529,6.893582612422,3.08536450193909,-0.566317333312872,4.00321923981301,0.602308734560213,-0.296349173351246,-0.642234476053165,3.7559313213531,-1.09778144053008,-1.17288935389927,2.64439661758484,-0.474033775183321,1.66269594779946,0.435552606924005,-2.78855584895177,-3.19154282494427,0.890810645050117
14,96.602284762009,-1.30555945646246,-0.830612015743665,0.048865692676241,2.08881971662244,3.41324183697276,-0.742801903729013,0.333624202424608,4.58151139485931,2.2532215088807,-1.33375840189953,3.46081063769558,1.09754743553952,0.058658502675314,-0.630032415531193,3.58244354760297,-1.79286935322084,-0.227741014706587,0.853557494361315,-0.524091607978775,-0.100559393034095,-0.92975447223879,-3.66602055019795,-1.75628411635765,2.96338332272265
15,96.1394573084677,-1.70706342792117,-0.378395982060421,-2.35163402258179,-0.494716500736539,1.829267371801,1.51284218200847,-0.277409572169662,3.58535340658279,2.21699460307896,0.349408498884793,5.66944846204605,-0.677896310465358,-0.234158225253872,0.815204813720664,4.48371829173455,0.049836940192071,-2.49384797225814,4.53065108799858,-1.10225866591104,0.456727685053327,0.051287011874478,-2.68928545312299,-3.80976746672566,4.0720925023342
16,97.9425934602141,-2.06091299407849,-1.11568728861078,0.043483674396415,1.25495576224959,1.34881215419423,1.46912690272272,-2.22894184231926,5.2633354344166,3.7596004914059,1.10441679848315,5.45744101981035,-0.430184706147685,-2.1124235671573,-0.315311152963111,3.81076727305255,-0.563133159051559,-2.0262757157992,3.50387801130373,-0.307502270071769,1.59039751245806,-1.72129599561595,-2.62433983756195,-1.99730268167194,3.87863693104312
17,97.5880290396194,-3.33418245397968,-4.54974852177704,-1.75973016274742,-1.18313310006503,2.07058934240931,0.198954075778397,-2.53725942873148,3.56614046029899,3.82431513947624,-0.399142315958195,2.70500466502163,2.06430199287124,0.934497410201235,0.821003103122216,4.42795656171072,1.52849446465251,-1.76796176379046,4.66924637013288,-0.416955503565173,2.5289088322111,-1.95663769999171,-3.37645096088,-3.22194020747529,3.74288159679091
18,96.2769022880769,-2.03476910242477,-2.79394065617074,1.12848088458768,1.93360966278303,-1.15908215428487,0.003634614365819,-1.69340041580126,4.15147992058506,5.11395480803196,0.622636737674234,2.9752440480587,2.25134156265391,-1.08231943664145,-1.6849036770517,3.78624400816864,-0.738849114612952,-0.658090689119989,4.15052862992878,-1.82690897307708,0.734753423113413,-0.346338833792264,-2.89625128379845,-2.40820994476355,4.59234615615679
19,98.1044407574989,-3.56927756791321,-3.32508608478401,1.75837646695619,0.244766406675754,0.63654971821678,1.06402010595294,-1.62543322805463,4.09544591557509,3.95148932924123,0.474570780846007,2.25726525588822,0.394885224401708,-1.28112299735164,-0.09604918992365,5.5461351185132,0.583930489098449,0.758049676015179,1.69853628369833,-0.568608319147707,-0.681944877814806,-0.229446117652231,-1.65268321332556,-3.89140984760322,5.90066544210783
